Route Number,Total Trains in Route,Segment Number,Train Number,Train Name,From Station,Departure Time,To Station,Arrival Time,Segment Distance (km),Segment Duration (hrs),Seat Availability,Waiting Time Before Segment (hrs),Total Route Distance (km),Total Route Duration,Estimated Cost (₹)
1,2,1,12625,KERALA EXPRE,PGT,18:45:00,NDLS,13:45:00,2643.0,45.57,1,0.0,3100.0,55h 12m,3100.0
1,2,2,19804,SVDK-KOTA WE,NDLS,14:15:00,KOTA,23:50:00,457.0,9.14,0,0.5,3100.0,55h 12m,3100.0
2,2,1,12625,KERALA EXPRE,PGT,18:45:00,NDLS,13:45:00,2643.0,45.57,1,0.0,3100.0,68h 37m,3100.0
2,2,2,19806,UHP-KOTA WEE,NDLS,03:40:00,KOTA,11:10:00,457.0,9.14,1,13.92,3100.0,68h 37m,3100.0
3,2,1,12643,NIZAMUDDIN E,PGT,21:30:00,NZM,17:10:00,2635.0,45.43,1,0.0,3085.0,74h 30m,3085.0
3,2,2,12060,KOTA JANSHTB,NZM,13:15:00,KOTA,20:00:00,450.0,9.0,1,20.08,3085.0,74h 30m,3085.0
4,2,1,12643,NIZAMUDDIN E,PGT,21:30:00,NZM,17:10:00,2635.0,45.43,1,0.0,3085.0,65h 10m,3085.0
4,2,2,19806,UHP-KOTA WEE,NZM,03:55:00,KOTA,11:10:00,450.0,9.0,1,10.75,3085.0,65h 10m,3085.0
5,2,1,16317,CAPE-SVDK HI,PGT,23:50:00,SVDK,15:20:00,3315.0,57.16,1,0.0,4442.0,82h 31m,4442.0
5,2,2,19804,SVDK-KOTA WE,SVDK,21:55:00,KOTA,23:50:00,1127.0,18.78,0,6.58,4442.0,82h 31m,4442.0
6,2,1,16359,ERS PATNA EX,PGT,02:05:00,PNBE,09:50:00,2837.0,48.91,0,0.0,4082.0,71h 39m,4082.0
6,2,2,13237,PNBE- KOTA,PNBE,11:50:00,KOTA,12:55:00,1245.0,20.75,1,2.0,4082.0,71h 39m,4082.0
7,2,1,16359,ERS PATNA EX,PGT,02:05:00,PNBE,09:50:00,2837.0,48.91,0,0.0,4035.0,70h 52m,4035.0
7,2,2,13239,PNBE-KOTA EX,PNBE,11:50:00,KOTA,12:55:00,1198.0,19.97,1,2.0,4035.0,70h 52m,4035.0
8,2,1,22476,CBE BKN AC S,PGT,16:20:00,BKN,12:25:00,2428.0,41.86,0,0.0,3049.0,63h 49m,3049.0
8,2,2,22982,KOTA-HMH -KO,BKN,23:05:00,KOTA,09:50:00,621.0,11.29,1,10.67,3049.0,63h 49m,3049.0
9,2,1,12625,KERALA EXPRE,PGT,18:45:00,NDLS,13:45:00,2643.0,45.57,1,0.0,3100.0,55h 12m,3100.0
9,2,2,19804,SVDK-KOTA WE,NDLS,14:15:00,KOTA,23:50:00,457.0,9.14,0,0.5,3100.0,55h 12m,3100.0
10,2,1,12625,KERALA EXPRE,PGT,18:45:00,NDLS,13:45:00,2643.0,45.57,1,0.0,3100.0,68h 37m,3100.0
10,2,2,19806,UHP-KOTA WEE,NDLS,03:40:00,KOTA,11:10:00,457.0,9.14,1,13.92,3100.0,68h 37m,3100.0
11,2,1,12643,NIZAMUDDIN E,PGT,21:30:00,NZM,17:10:00,2635.0,45.43,1,0.0,3085.0,74h 30m,3085.0
11,2,2,12060,KOTA JANSHTB,NZM,13:15:00,KOTA,20:00:00,450.0,9.0,1,20.08,3085.0,74h 30m,3085.0
12,2,1,12643,NIZAMUDDIN E,PGT,21:30:00,NZM,17:10:00,2635.0,45.43,1,0.0,3085.0,65h 10m,3085.0
12,2,2,19806,UHP-KOTA WEE,NZM,03:55:00,KOTA,11:10:00,450.0,9.0,1,10.75,3085.0,65h 10m,3085.0
13,2,1,16317,CAPE-SVDK HI,PGT,23:50:00,SVDK,15:20:00,3315.0,57.16,1,0.0,4442.0,82h 31m,4442.0
13,2,2,19804,SVDK-KOTA WE,SVDK,21:55:00,KOTA,23:50:00,1127.0,18.78,0,6.58,4442.0,82h 31m,4442.0
14,2,1,16359,ERS PATNA EX,PGT,02:05:00,PNBE,09:50:00,2837.0,48.91,0,0.0,4082.0,71h 39m,4082.0
14,2,2,13237,PNBE- KOTA,PNBE,11:50:00,KOTA,12:55:00,1245.0,20.75,1,2.0,4082.0,71h 39m,4082.0
15,2,1,16359,ERS PATNA EX,PGT,02:05:00,PNBE,09:50:00,2837.0,48.91,0,0.0,4035.0,70h 52m,4035.0
15,2,2,13239,PNBE-KOTA EX,PNBE,11:50:00,KOTA,12:55:00,1198.0,19.97,1,2.0,4035.0,70h 52m,4035.0
16,2,1,22476,CBE BKN AC S,PGT,16:20:00,BKN,12:25:00,2428.0,41.86,0,0.0,3049.0,63h 49m,3049.0
16,2,2,22982,KOTA-HMH -KO,BKN,23:05:00,KOTA,09:50:00,621.0,11.29,1,10.67,3049.0,63h 49m,3049.0
17,3,1,12258,KCVL-YPR EXP,PGT,00:15:00,YPR,09:30:00,436.0,8.72,1,0.0,3680.0,81h 43m,3680.0
17,3,2,12539,YPR-LKO EXPR,YPR,10:50:00,LKO,08:50:00,2548.0,43.93,1,1.33,3680.0,81h 43m,3680.0
17,3,3,13237,PNBE- KOTA,LKO,23:55:00,KOTA,12:55:00,696.0,12.65,1,15.08,3680.0,81h 43m,3680.0
18,3,1,12258,KCVL-YPR EXP,PGT,00:15:00,YPR,09:30:00,436.0,8.72,1,0.0,3681.0,81h 44m,3681.0
18,3,2,12539,YPR-LKO EXPR,YPR,10:50:00,LKO,08:50:00,2548.0,43.93,1,1.33,3681.0,81h 44m,3681.0
18,3,3,13239,PNBE-KOTA EX,LKO,23:55:00,KOTA,12:55:00,697.0,12.67,1,15.08,3681.0,81h 44m,3681.0
19,3,1,12258,KCVL-YPR EXP,PGT,00:15:00,YPR,09:30:00,436.0,8.72,1,0.0,4011.0,75h 21m,4011.0
